no_you_have_never_tried_to_watch_audiovisual_content_through_an_online_service,no_didnt_watch,78
you generally do not trust political institutions / politicians (spontaneous),eu_n_trust_general,77
the_eu_should_have_greater_financial_means_given_its_political_objectives,eu_greater_budget,73
the_political_and_diplomatic_influence_of_the_eu_in_the_rest_of_the_world,eu_global_influence,73
single_living_with_a_partner_living_with_the_children_of_a_previous_union,partner_childr_prev_union,73
working_towards_a_safe_digital_space_including_on_social_media_platforms,safe_digital_space,72
being_a_member_of_the_eu_puts_(our_country)_at_risk_of_external_threats,eu_external_risk,71
the eu does not treat all member states fairly to reach common interest,eu_dsn_treat_fair,71
being a member of the eu puts (our country) at risk of external threats,eu_being_mem_threat,71
you generally trust political institutions / politicians (spontaneous),eu_trust_all,70
the_level_of_social_welfare_(healthcare_education_pensions)_in_the_eu,eu_social_welfare,69
employed_position_not_at_a_desk_but_travelling_(salesmen_driver_etc.),emp_travel,69
industry_(e.g._reduction_of_the_administrative_burden_for_companies),industry_admin_burden,68
married_or_remarried_living_with_the_children_of_a_previous_marriage,mar_childr_prev_marr,68
employed_professional_(employed_doctor_lawyer_accountant_architect),emp_prof,67
threats_to_democracy_(for_example_through_information_manipulation),threats_democracy,67
the_eu_does_n_treat_all_member_states_fair_to_reach_common_interest,eu_not_fair_treatment,67
single_living_with_a_partner_living_with_the_children_of_this_union,partner_childr_this_union,67
you do not have enough information about the activities of the eu,no_info_about_eu,65
the eu treats all member states fairly to reach common interest,eu_treats_fair_q,63
the decisions taken by the eu are not made in a democratic way,eu_dem_decisions,62
you_do_n_have_enugh_information_about_the_activities_of_the_eu,low_eu_info,62
married_or_remarried_living_with_the_children_of_this_marriage,mar_childr_this_marr,62
the_eu_treats_all_member_states_fair_to_reach_common_interest,eu_fair_treatment,61
the eu does not have enough influence to tackle global issues,eu_dsnt_have_infl,61
the_eu_treats_all_member_states_fair_to_reach_common_interest,eu_treats_fair,61
d’une_manière_générale_vous_êtes_favorable_à_l’ue_(spontané),fr_favorable_eu,60
helping_the_private_sector_become_more_competitive_in_the_eu,private_sector_competitiveness,60
development_and_humanitarian_aid_to_countries_outside_the_eu,eu_external_aid,60
the_decisions_taken_by_the_eu_are_n_made_in_a_democratic_way,eu_decisions_undemocratic,60
respect_for_the_rule_of_law_democracy_and_fundamental_rights,rule_of_law_rights,60
the_free_movement_of_people_goods_and_services_within_the_eu,free_movement,60
the eu contributes to improving (our country)’s prosperity,eu_cntrbt_prosperity,58
the decisions taken by the eu are made in a democratic way,eu_decisions_democrat,58
the eu does not engage sufficiently with citizens like you,eu_dsnt_engage_w_citiz,58
business_proprietors_owner_(full_or_partner)_of_a_company,comp_owner,57
the eu does not protect democracy and fundamental values,eu_dsnt_protect_democr,56
you are well informed about the activities of the eu,eu_have_info,52
the eu is the right level to deal with global issues,eu_deals_glob_iss,52
owner_of_a_shop_craftsmen_other_self-employed_person,slf_emp_owner,52
single_living_with_a_partner_living_without_children,partner_no_childr,52
the eu is too distant from the concerns of citizens,eu_too_distant,51
the eu provides protection against external threats,eu_protect_agnst_ext_threat,51
you are generally in favour of the eu (spontaneous),eu_in_favour,51
the eu is deteriorating (our country)’s prosperity,eu_deter_our_prosperity,50
it_is_owned_by_you/_your_household_with_a_mortgage,mortgage,50
the eu addresses the concerns of its citizens well,eu_addrss_concerns,50
no_change/does_not_impact_your_life_(spontaneous),sp,49
the eu protects democracy and fundamental values,eu_protect_democr,48
other_employed_(unskilled)_manual_worker_servant,emp_unskilled,48
you are generally against the eu (spontaneous),eu_against,46
divorced_or_separated_living_without_children,div_no_childr,45
pre-primary_education_(include_no_education),pre-prime_edu_or_no,44
married_or_remarried_living_without_children,mar_no_childr,44
it_is_owned_outright_by_you/_your_household,owned,43
divorced_or_separated_living_with_children,div_childr,42
employed_position_working_mainly_at_a_desk,emp_desk,42
retired_or_unable_to_work_through_illness,retired_disabled,41
employed_position_skilled_manual_worker,emp_manual,39
unemployed_or_temporarily_not_working,unempl,37
your_accommodation_is_provided_free,acc_free,35
single_living_without_children,sing_no_childr,30
widow_living_without_children,wid_no_childr,29
single_living_with_a_partner,w_partner,28
employed_position_supervisor,emp_sprvsr,28
single_living_with_children,sing_childr,27
widow_living_with_children,wid_childr,26
lower_secondary_education,low_sec_edu,25
upper_secondary_education,upp_sec_edu,25
friends_or_acquaintances,fr_acq,24
bachelor_or_eqxuivalent,bachelor_edu,23
doctoral_or_equivalent,phd_edu,22
divorced_or_separated,div,21
master_or_equivalent,master_edu,20
short-cycle_tertiary,tert_edu,20
for_films_or_series,film_ser,19
for_sports_content,sport,18
primary_education,prime_edu,17
for_tv_programmes,tv,17
totally_disagree,tot_disagr,16
tend_to_disagree,tend_disagr,16
close_relatives,rel,15
family_members,fam_mem,14
tend_to_agree,tend_agr,13
totally_agree,tot_agr,13
self-employed,slf_emp,13
significantly,sign,13
(spontaneous),sp,13
significant,sign,11
(re)married,married,11
personally,pers,10
raw_phrase,clean_phrase,10
equivalent,eqv,10
difficult,diff,9
full-time,fll-tm,9
eduaction,edu,9
household,hshld,9
important,imp,9
dont_know,dnk,9
studying,study,8
workers,work,7
without,no,7
refusal,ref,7
urgent,urg,6
single,sing,6
before,bef,6
fairly,fair,6
easier,eas,6
widow,wid,5
other,oth,5
large,lar,5
small,smll,5
after,aft,5
total,tot,5
never,nev,5
well,w,4
area,ar,4
very,v,4
yes,y,3
not,n,3
no,n,2
